epoch	loss	acc	val_loss	val_acc
0	0.20918602113194396	0.9143945432598448	0.18276857290816553	0.9344410384815044
1	0.1464536180340096	0.941030707446162	0.12654788616825552	0.949885879833393
2	0.12487009137300233	0.9503990977304662	0.1184132210523612	0.9537714690898117
3	0.11192500682390988	0.9558658508869843	0.10117968286558418	0.9608573121595547
4	0.10327174924217093	0.9593585792667226	0.1025566000968321	0.9597378503080057
5	0.09653788309702642	0.962133497749322	0.09844818663586795	0.9615576225993543
6	0.09109433413404852	0.9643771493321176	0.09122747120972735	0.9654287879442262
7	0.0872430283081914	0.9659529261659355	0.09307940484743217	0.9634046818558321
8	0.08385823557843153	0.9673971530156661	0.08185689580533331	0.9687192085292513
9	0.08116219675770968	0.9685318393492223	0.07956021429912855	0.9692309554472927
10	0.07850033365002634	0.9695510235643345	0.0829162418996999	0.9681408925039958
11	0.076613154779257	0.970369541634711	0.07559517428124239	0.9711318791531361
12	0.07402387819053396	0.9714048754517555	0.07467592055152032	0.9717410757467408
13	0.07273810663149859	0.9720272997205194	0.07649245700931054	0.9715196121110223
14	0.07129740207120841	0.9725766186081423	0.07469672919814975	0.9719063418959252
15	0.06930299473204307	0.9734245789950554	0.07350079440689004	0.9724092417522285
16	0.06905852929597715	0.9735333590743238	0.07034042490498005	0.9734849335825567
17	0.06676205365570441	0.9744823799894256	0.07195543722091662	0.9735914712133704
18	0.06610173719118495	0.974776206798173	0.07054528755145502	0.9734416354486274
19	0.0650141856601625	0.97520644625476	0.06932047828000722	0.9738418618700496
20	0.06396967595231502	0.9756214128611714	0.07229064437190141	0.972871912391953
21	0.06487232309031879	0.9752307885228709	0.06644775164168598	0.9751452772675089
22	0.06218846747772857	0.9763922513513491	0.06662812228330692	0.9754357321452104
23	0.061738943572883904	0.9765683328805544	0.0674323329901819	0.9749114818638996
24	0.06057038480950663	0.9770593014574009	0.06628309310152869	0.9756645479829253
25	0.0599388844605797	0.9773235048093903	0.06584279012308814	0.9758265208208025
26	0.059486505277422545	0.9774558397344373	0.06949787000419771	0.9744338527270254
27	0.05948634594937355	0.9774629058573211	0.06366476390807274	0.9766117940724515
28	0.05823295049737664	0.9780068550539968	0.06548946352101939	0.9763715473425842
29	0.05899566409387282	0.9776651269957385	0.06744598672696257	0.9759821809286889
30	0.057236090118302954	0.9784147960666151	0.06422449379617987	0.976740889895746
31	0.05708944708987722	0.9784767286527292	0.06273359711246507	0.9770156041973602
32	0.05630068215384033	0.9787723718264365	0.06370875310268781	0.9767370454992802
33	0.05621651929043111	0.9788228338527762	0.0635539735619069	0.9771926741286545
34	0.055313822812524345	0.9791972945280315	0.06345549673099832	0.9765973239621489
35	0.05542975101952747	0.9791156863090998	0.062080711964195574	0.9774172561803903
36	0.05505317710307713	0.9792629880483318	0.0630721297553357	0.9774605081155638
